x,y,z,r,g,b
-1.58247,-0.817016,-0.04626,1.0,0.06168,0.0
-1.5687,-0.814733,-0.04909,1.0,0.0654533,0.0
-1.58303,-0.806765,-0.048495,1.0,0.06466,0.0
-1.57,-0.814741,-0.044915,1.0,0.0598867,0.0
-1.58045,-0.815198,-0.0442,1.0,0.0589333,0.0
-1.57961,-0.81482,-0.0443,1.0,0.0590667,0.0
-1.57767,-0.809803,-0.05155,1.0,0.0687333,0.0
-1.57714,-0.81454,-0.04428,1.0,0.05904,0.0
-1.57384,-0.814339,-0.047305,1.0,0.0630733,0.0
-1.58497,-0.817013,-0.041205,1.0,0.05494,0.0
-1.58219,-0.814518,-0.047415,1.0,0.06322,0.0
-1.578,-0.81307,-0.045345,1.0,0.06046,0.0
-1.57555,-0.814162,-0.042745,1.0,0.0569933,0.0
-1.57092,-0.815331,-0.04868,1.0,0.0649067,0.0
-1.57254,-0.810213,-0.043395,1.0,0.05786,0.0
-1.57194,-0.813812,-0.04821,1.0,0.06428,0.0
-1.57326,-0.815027,-0.046995,1.0,0.06266,0.0
-1.57268,-0.816067,-0.05137,1.0,0.0684933,0.0
-1.57494,-0.81258,-0.05657,1.0,0.0754267,0.0
-1.57144,-0.813488,-0.0475,1.0,0.0633333,0.0
-1.585,-0.816384,-0.04528,1.0,0.0603733,0.0
-1.58002,-0.815114,-0.049605,1.0,0.06614,0.0
-1.5778,-0.81908,-0.047745,1.0,0.06366,0.0
-1.57671,-0.815112,-0.052795,1.0,0.0703933,0.0
-1.59111,-0.813048,-0.046365,1.0,0.06182,0.0
-1.57506,-0.823842,-0.051345,1.0,0.06846,0.0
-1.5729,-0.809429,-0.051175,1.0,0.0682333,0.0
-1.5746,-0.824938,-0.05107,1.0,0.0680933,0.0
-1.58386,-0.81292,-0.043885,1.0,0.0585133,0.0
-1.58392,-0.810057,-0.04272,1.0,0.05696,0.0
-1.56851,-0.81501,-0.05073,1.0,0.06764,0.0
-1.5718,-0.813696,-0.047325,1.0,0.0631,0.0
-1.5847,-0.804974,-0.044795,1.0,0.0597267,0.0
-1.57632,-0.823598,-0.049105,1.0,0.0654733,0.0
-1.57625,-0.820095,-0.051875,1.0,0.0691667,0.0
-1.57648,-0.82341,-0.05073,1.0,0.06764,0.0
-1.56747,-0.814369,-0.056425,1.0,0.0752333,0.0
-1.57619,-0.820268,-0.050585,1.0,0.0674467,0.0
-1.58847,-0.81445,-0.047465,1.0,0.0632867,0.0
-1.58075,-0.814994,-0.047215,1.0,0.0629533,0.0
-1.57108,-0.81575,-0.05085,1.0,0.0678,0.0
-1.58248,-0.818013,-0.045845,1.0,0.0611267,0.0
-1.57276,-0.81322,-0.045565,1.0,0.0607533,0.0
-1.57316,-0.810566,-0.051135,1.0,0.06818,0.0
-1.57439,-0.813553,-0.04643,1.0,0.0619067,0.0
-1.56809,-0.814848,-0.050105,1.0,0.0668067,0.0
-1.58398,-0.810198,-0.04619,1.0,0.0615867,0.0
0.977718,-0.830862,-0.206435,1.0,0.275247,0.0
-1.58526,-0.80803,-0.048115,1.0,0.0641533,0.0
-1.57357,-0.812535,-0.0518,1.0,0.0690667,0.0
