D3,density_prior1,density_prior2,density_prior3,density_prior4,posterior
2.061122244488978,0.0,0.0,0.0,0.0,0.0
2.064328657314629,0.0,0.0,0.0,0.0,0.0
2.0675350701402806,0.0,0.0,0.0,0.0,0.0
2.070741482965932,0.0,0.0,0.0,0.0,0.0
2.073947895791583,0.0,0.0,0.0,0.0,0.0
2.0771543086172346,0.0,0.0,0.0,0.0,0.0
2.0803607214428856,0.0,0.0,0.0,0.0,0.0
2.083567134268537,0.0,0.0,0.0,0.0,0.0
2.0867735470941886,0.0,0.0,0.0,0.0,0.0
2.0899799599198396,0.0,0.0,0.0,0.0,0.0
2.093186372745491,0.0,0.0,0.0,0.0,0.0
2.096392785571142,0.0,0.0,0.0,0.0,0.0
2.0995991983967937,0.0,0.0,0.0,0.0,0.0
2.102805611222445,0.0,0.0,0.0,0.0,0.0
2.106012024048096,0.0,0.0,0.0,0.0,0.0
2.1092184368737477,0.0,0.0,0.0,0.0,0.0
2.1124248496993987,0.0,0.0,0.0,0.0,0.0
2.11563126252505,0.0,0.0,0.0,0.0,0.0
2.1188376753507017,0.0,0.0,0.0,0.0,0.0
2.1220440881763527,0.0,0.0,0.0,0.0,0.0
2.1252505010020037,0.0,0.0,0.0,0.0,0.0
2.1284569138276552,0.0,0.0,0.0,0.0,0.0
2.1316633266533067,0.0,0.0,0.0,0.0,0.0
2.1348697394789578,0.0,0.0,0.0,0.0,0.0
2.1380761523046092,0.0,0.0,0.0,0.0,0.0
2.1412825651302603,0.0,0.0,0.0,0.0,0.0
2.1444889779559118,0.0,0.0,0.0,0.0,0.0
2.1476953907815632,0.0,0.0,0.0,0.0,0.0
2.1509018036072143,0.0,0.0,0.0,0.0,0.0
2.1541082164328658,0.0,0.0,0.0,0.0,0.0
2.157314629258517,0.0,0.0,0.0,0.0,0.0
2.1605210420841683,0.0,0.0,0.0,0.0,0.0
2.1637274549098198,0.0,0.0,0.0,0.0,0.0
2.166933867735471,0.0,0.0,0.0,0.0,0.0
2.1701402805611223,0.0,0.0,0.0,0.0,0.0
2.1733466933867733,0.0,0.0,0.0,0.0,0.0
2.176553106212425,0.0,0.0,0.0,0.0,0.0
2.1797595190380763,0.0,0.0,0.0,0.0,0.0
2.1829659318637273,0.0,0.0,0.0,0.0,0.0
